,0,1
0,statistical data,9.0
1,plan,9.0
2,undue reliance,9.0
3,increasing consolidation,9.0
4,federal fund,9.0
5,discount amortization,9.0
6,fund transaction,9.0
7,debit card transaction,9.0
8,american country,8.88888888888889
9,low price,8.833333333333334
10,source corporation,8.67741935483871
11,st source,8.67741935483871
12,advisory fee,8.647058823529411
13,subsidiary,8.625
14,duty truck,8.625
15,valuation adjustment,8.615384615384615
16,corruption scandal,8.5
17,common share,8.466589861751153
18,common share,8.466589861751153
19,noninterest income,8.392292490118578
20,term debt,8.35483870967742
21,financial statements,8.328125
22,interest margin,8.317004048582996
23,fund deposit,8.30232558139535
24,loss history,8.288461538461538
25,noninterest income,8.281181379007466
26,fiduciary fee,8.243833017077797
27,expense salaries,8.215034965034965
28,average mortgage,8.204545454545455
29,brokered certificate,8.2
30,redeemable security,8.2
31,reported proceeding,8.166666666666666
32,collateral,8.130434782608695
33,valuation adjustment,8.115384615384615
34,comparability,8.11111111111111
35,interest expense,8.105465587044534
36,common share,8.095161290322581
37,common stock,8.094155844155845
38,asset,8.067413213885779
39,marketing expense,8.03908188585608
40,indiana law,8.0
41,considered impaired based,8.0
42,due aging,7.9868421052631575
43,interest bearing deposit,7.96548347613219
44,banking center remodels,7.958333333333333
45,marketing expense,7.9423076923076925
46,interest income,7.936569265974301
47,income loss,7.908026755852843
48,interest income,7.907723112128146
49,charitable contribution,7.880952380952381
50,leased equipment,7.877777777777778
51,net income,7.870185564785845
52,months,7.864583333333333
53,capital rule,7.857142857142858
54,budget deficit,7.823529411764706
55,deposit insurance fund,7.802325581395349
56,heightened concern,7.800000000000001
57,net income,7.773411371237458
58,deposit account,7.730897009966777
59,repossessed asset,7.720044792833146
60,historical information,7.717391304347826
61,executive management,7.6923076923076925
62,management belief,7.6923076923076925
63,employee benefit,7.682488479262672
64,document,7.666666666666667
65,loan commitment,7.666666666666667
66,marketing promotion loan,7.666666666666667
67,rental income,7.664009661835749
68,charge offs,7.653846153846153
69,share,7.64516129032258
70,brokered certificate,7.644444444444445
71,financial measures,7.613839285714286
72,earning asset,7.608800773694391
73,consulting service,7.601503759398496
74,legal fee,7.528011204481793
75,tax rate,7.5249999999999995
76,capital buffer requirement,7.523809523809524
77,capital adequacy requirement,7.523809523809524
78,real estate,7.5209090909090905
79,major event,7.5
80,insurance,7.4967741935483865
81,leased equipment,7.474551971326165
82,equity security,7.438095238095238
83,relocation expense,7.42476383265857
84,capital ratio,7.393035288285777
85,user,7.361111111111111
86,truck medium,7.358333333333334
87,asset ratio,7.315845615644893
88,effective rate,7.307051282051282
89,capital buffer,7.273809523809524
90,capital amount,7.273809523809524
91,net income,7.273411371237458
92,term borrowing,7.232289690069576
93,past year,7.201127819548873
94,year,7.192857142857143
95,asset,7.192134107027725
96,paper statement fee,7.181541582150102
97,source bank,7.17741935483871
98,june,7.147916666666667
99,september,7.140476190476191
100,collateral,7.130434782608695
101,real estate,7.117683284457478
102,market condition,7.077639751552795
103,march,7.069850187265917
104,general collection,7.034798534798535
105,gain loss,7.015734265734266
106,lease gains,7.0144300144300145
107,home equity portfolio,7.0062111801242235
108,december,6.952976190476191
109,loss experience,6.939255189255189
110,cash flow requirement,6.9
111,equivalent basis,6.896341463414634
112,month,6.883451257861635
113,month,6.876010781671159
114,ago trust,6.864285714285715
115,financial statement,6.8626077586206895
116,management belief,6.858974358974359
117,tier capital ratio,6.806828391734053
118,month,6.805384778460886
119,ago year,6.778571428571429
120,cash dividend,6.756125356125356
121,month,6.688510781671159
122,real estate,6.6875757575757575
123,impairment charge,6.666666666666667
124,aircraft industry,6.651488095238095
125,repossession expense,6.633676480450674
126,foreign outstandings,6.604255319148937
127,nonperforming asset,6.573898176291793
128,addition banking regulator,6.560897435897436
129,december total deposit,6.558175335089931
130,year,6.5511278195488725
131,repossession expense,6.536902286902287
132,basis point,6.483183568677791
133,reserve ratio,6.467229394240318
134,million results,6.387755102040816
135,liquidity exposure,6.383333333333333
136,total cost,6.3746684350132625
137,reserve ratio,6.342229394240318
138,aircraft financing loan,6.322916666666667
139,financial condition,6.297390367316342
140,nonaccrual loan,6.252956989247312
141,ago furniture,6.230952380952382
142,lower expense,6.227748305334513
143,quarter,6.186730984340044
144,quarter,6.179290508149569
145,partnership investment,6.1625
146,quarter,6.108664504939295
147,period,6.106688596491228
148,real estate,6.1042424242424245
149,net recovery,6.097156811442526
150,borrow approximately million,6.054421768707483
151,period,6.028622117090479
152,performance measure,5.93015873015873
153,total loan,5.922516420361249
154,reduction,5.7938596491228065
155,increase wa due,5.746800395148455
156,december,5.698214285714286
157,decrease wa due,5.683595352016404
158,lease,5.635322946382854
159,sale,5.522990834050741
160,common share,5.466589861751152
161,sale,5.426216640502354
162,net income,5.273411371237458
163,income,5.216339410939691
164,noninterest expense,5.215034965034965
165,wa primarily,5.211904761904762
166,loan sale,5.191970310391364
167,period,5.160531764193092
168,income tax,5.119565217391305
169,income,5.119565217391305
170,rate,5.05
171,increased expense,5.0390818858560795
172,light truck,5.025
173,insurance,5.0
174,increased slightly,4.9967741935483865
175,total asset,4.99046221570066
176,servicing fee,4.980392156862745
177,source,4.9715370018975324
178,interest,4.945209176788124
179,asset capital,4.9280648429584595
180,banking subsidiary,4.916666666666666
181,nonperforming asset,4.904255319148936
