,0,1
0,statistical data,9.0
1,undue reliance,9.0
2,discount amortization,9.0
3,fund transactions,9.0
4,debit card transactions,9.0
5,valuation adjustments,9.0
6,american countries,9.0
7,low prices,8.833333333333334
8,source corporation,8.76923076923077
9,1st source,8.76923076923077
10,wealth advisory fees,8.625
11,fund fees,8.625
12,corruption scandals,8.6
13,debit card income,8.546296296296296
14,capital rules,8.5
15,redeemable securities,8.4
16,duty trucks,8.375
17,professional fees,8.375
18,source bank,8.349875930521092
19,valuation adjustments,8.324324324324325
20,average mortgages,8.283464566929133
21,fund deposits,8.263157894736842
22,users,8.25
23,brokered certificates,8.2
24,reported proceeding,8.166666666666666
25,capital requirements,8.125
26,capital adequacy requirements,8.125
27,equipment maintenance costs,8.112903225806452
28,heightened concerns,8.1
29,estate administration fees,8.056372549019608
30,interest margin,8.030713918849512
31,federal funds,8.0
32,equity security,7.977777777777778
33,mortgage loans,7.972477064220183
34,loss histories,7.964285714285714
35,normal performance,7.913043478260869
36,servicing fees,7.886016949152543
37,charitable contributions,7.829787234042553
38,leased equipment,7.8271889400921655
39,common share,7.821316614420063
40,common share,7.821316614420063
41,marketing promotions,7.79099099099099
42,capital standards,7.785714285714286
43,items,7.784313725490196
44,employee benefits,7.781818181818181
45,due aging,7.780487804878049
46,interest expense,7.736363636363636
47,banking center remodels,7.735632183908046
48,cash dividends,7.722222222222223
49,historical information,7.717391304347826
50,common stock,7.712121212121212
51,audit fees,7.708333333333334
52,net income,7.707313245448839
53,real estate,7.685918003565062
54,rental income,7.659199522102748
55,brokered certificates,7.644444444444445
56,reserve bank,7.61910669975186
57,interest income,7.577010215145808
58,statement purposes,7.559883154819864
59,professional fees,7.556818181818182
60,comparability,7.545454545454545
61,interest income,7.540993265993266
62,budget deficits,7.529411764705882
63,major events,7.5
64,core deposit base,7.5
65,indiana law,7.5
66,insurance commissions,7.5
67,september30,7.491085564810353
68,marketing expense,7.490990990990991
69,cash flow requirements,7.458333333333334
70,consulting services,7.458333333333333
71,legal fees,7.454787234042553
72,months,7.44034989763633
73,deposit insurance fund,7.428571428571429
74,loan commitments,7.416666666666667
75,interest income,7.415993265993265
76,net income,7.389131427267021
77,financial measures,7.379113924050633
78,equity securities,7.377777777777778
79,months,7.353419992524607
80,marketing expense,7.348484848484848
81,capital amounts,7.333333333333334
82,market conditions,7.327586206896552
83,executive management,7.311111111111111
84,capital guidelines,7.285714285714286
85,assets,7.270979020979021
86,capital buffer,7.25
87,lease balance,7.21078431372549
88,earning assets,7.184746618211185
89,effective rate,7.172058823529412
90,deposit accounts,7.142857142857143
91,home equity portfolios,7.123611111111112
92,paper statement fees,7.105769230769231
93,capital buffer requirement,7.045454545454545
94,insurance,7.010389610389611
95,leased equipment,7.009007121910347
96,investment securities,7.004863221884499
97,cash dividends,6.997222222222222
98,tax rates,6.996092639954533
99,general collection,6.983633387888707
100,repossessed assets,6.975
101,insurance commissions,6.967532467532467
102,performance measures,6.96304347826087
103,income tax expense,6.956441223832529
104,financial statements,6.944498539435248
105,tax rate,6.9405370843989775
106,loss experience,6.925070028011204
107,net loans,6.91695858030186
108,net income,6.873979912115505
109,real estate,6.867736185383244
110,real estate,6.839764157411215
111,past year,6.811415639929595
112,collateral,6.785714285714286
113,capital ratio,6.7821118991331755
114,atm losses,6.781006746237675
115,real estate,6.754883520806441
116,repossession expense,6.753490990990992
117,equity interest rates,6.653030303030302
118,average assets,6.6192801697660135
119,repossession expense,6.610984848484849
120,december31,6.594053601340034
121,impairment charge,6.575757575757576
122,home equity portfolio,6.544444444444445
123,partnership investment,6.535714285714286
124,interest bearing liabilities,6.520957473898651
125,current concerns,6.493939393939394
126,loan relationship,6.485632183908046
127,relocation expenses,6.458333333333333
128,loan prepayment assumptions,6.416666666666667
129,reserve ratio,6.376424501424501
130,common shareholders,6.328919112383679
131,quarter,6.251793868232225
132,liquidity exposure,6.25
133,quarter,6.201058201058201
134,period,6.175084175084175
135,quarter,6.114128295946478
136,period,6.088154269972452
137,reserve ratios,6.038461538461538
138,year,5.895752989327185
139,reviews yields,5.886111111111111
140,1st source,5.769230769230769
141,lower expenses,5.638888888888889
142,marketing promotions,5.466666666666667
143,servicing fees,5.225
144,net income,5.207313245448839
145,loan sales,5.1971544715447155
146,heightened concerns,5.1
147,core capital,5.0
148,reduction,4.9761513157894735
149,assets,4.901282051282051
150,rate,4.875
151,income,4.87062062062062
152,cash flow,4.833333333333334
153,leased equipment,4.8271889400921655
154,common share,4.821316614420063
155,insurance commissions,4.785714285714286
156,partnership investment,4.785714285714286
157,insurance,4.7528957528957525
158,income,4.7281144781144775
159,net recoveries,4.723516949152542
160,real estate,4.685918003565062
161,investment securities,4.685714285714285
162,interest rates,4.6752525252525245
163,dividends,4.663888888888889
164,average interest,4.653161536626103
165,average interest,4.653161536626103
166,average interest,4.653161536626103
167,interest,4.6446969696969695
168,net loans,4.633494013372726
169,annuity fees,4.625
170,fiduciary fees,4.625
171,national economies,4.611111111111111
172,amounts,4.583333333333334
173,total deposits,4.582306830907054
174,increased slightly,4.581818181818182
175,noninterest income,4.578554360812426
176,net charge,4.570107858243452
177,deposits,4.557275541795665
178,increased expense,4.548484848484849
179,trust fees,4.548076923076923
180,financial information,4.546505228398459
181,income taxes,4.546296296296296
182,interest differential,4.536363636363636
183,historical fact,4.5
184,established guidelines,4.5
185,collateral,4.5
186,global concerns,4.5
187,relocation expenses,4.5
188,share information,4.493253373313344
189,current information,4.484057971014493
190,equipment expense,4.479569892473118
191,information,4.467391304347826
192,lower expense,4.45
193,deposit accounts,4.428571428571429
194,noninterest expense,4.398924731182795
195,cash,4.395833333333334
196,lower rates,4.388888888888889
197,higher income,4.37608353033885
198,date,4.375
199,light trucks,4.375
200,assets,4.34099099099099
201,total assets,4.335815602836879
202,foreign exposure,4.333333333333334
203,financial condition,4.329113924050633
204,financial institution,4.329113924050633
205,financial ratings,4.329113924050633
206,financial obligations,4.329113924050633
207,financial condition,4.329113924050633
208,financial condition,4.329113924050633
209,market conditions,4.327586206896552
210,total cost,4.319148936170213
211,commercial paper,4.318965517241379
212,average assets,4.300131233595801
213,total loans,4.291626000390396
214,established based,4.285714285714286
215,largely based,4.285714285714286
216,average cost,4.283464566929133
217,construction equipment,4.279569892473118
218,equipment,4.266749379652605
219,current appraisal,4.266666666666667
220,supplement deposits,4.2631578947368425
221,rate,4.25
222,tables,4.25
223,increased volume,4.181818181818182
224,increased utilization,4.181818181818182
225,10% stock dividend,4.166666666666666
226,stock dividend,4.166666666666666
227,stock repurchases,4.166666666666666
228,global economic,4.166666666666666
229,positive adjustment,4.166666666666666
230,client relationships,4.166666666666666
231,meaningful view,4.166666666666666
232,liabilities,4.15126050420168
233,lower recoveries,4.145833333333334
234,higher rates,4.135342789598108
235,securities portfolio,4.133333333333333
236,diluted earnings,4.125
237,exempt sources,4.115384615384615
238,year,4.115265184449137
239,lease collection,4.114630467571644
240,amounts,4.1138211382113825
241,equipment finance,4.112903225806452
242,political issues,4.1
243,political uncertainty,4.1
244,lower volume,4.083333333333334
245,lower assessments,4.083333333333334
246,banking regulators,4.068965517241379
247,banking organizations,4.068965517241379
248,consumer portfolios,4.0625
249,repossession expenses,4.0625
250,gaap presentation,4.05
251,reserve ratios,4.038461538461538
252,specific reserve,4.038461538461538
253,nonperforming assets,4.016666666666667
254,assets,4.016666666666667
255,fixed assets,4.016666666666667
256,collectively referred,4.0
257,document,4.0
258,similar expressions,4.0
259,exclusive means,4.0
260,important factors,4.0
261,differ materially,4.0
262,competitive position,4.0
263,consolidation,4.0
264,credit concentrations,4.0
265,publicly update,4.0
266,comprehensive income/,4.0
267,unrealized gain/,4.0
268,dividend payout,4.0
269,continually reviewed,4.0
270,dividend policy,4.0
271,stringent limitations,4.0
272,discretionary bonuses,4.0
273,established relationships,4.0
274,largest contributor,4.0
275,term debt,4.0
276,geopolitical events,4.0
277,continued slowdown,4.0
278,terrorist attacks,4.0
279,increasingly aware,4.0
280,negative consequences,4.0
281,concern,4.0
282,collateral concentration,4.0
283,sectors,4.0
284,remain concerned,4.0
285,worst recession,4.0
286,clear trend,4.0
287,largely attributable,4.0
288,considered impaired,4.0
289,scheduled payments,4.0
290,collected pursuant,4.0
291,service charges,4.0
292,existing properties,4.0
293,proceeds,4.0
294,largest contributors,4.0
295,policies,4.0
296,prevailing practices,4.0
297,asset categories,4.0
298,private jets,4.0
299,established benchmark,4.0
300,deposit mix,4.0
301,trade relationships,4.0
302,assets ratio,3.9796296296296294
303,equity,3.977777777777778
304,package loans,3.9724770642201834
305,nonaccrual loans,3.9724770642201834
306,impaired loans,3.9724770642201834
307,foreign loans,3.9724770642201834
308,comparable figures,3.966666666666667
309,loss ratios,3.9642857142857144
310,loss,3.9642857142857144
311,asset ratio,3.962962962962963
312,lease agreement,3.9607843137254903
313,lease,3.9607843137254903
314,postage,3.958333333333333
315,financial institutions,3.954113924050633
316,trust assets,3.93974358974359
317,banking industry,3.935632183908046
318,/ratio,3.9130434782608696
319,lease losses,3.9120038259206122
320,negatively impact,3.8653846153846154
321,liabilities,3.857142857142857
322,decreased borrowings,3.844324324324324
323,recorded investment,3.841269841269841
324,indiana board,3.833333333333333
325,major component,3.833333333333333
326,higher volume,3.829787234042553
327,deposit market,3.8275862068965516
328,foreign outstandings,3.821428571428571
329,total shareholders,3.8191489361702127
330,sluggish economy,3.8
331,time deposits,3.7964912280701757
332,tax basis,3.7876643073811933
333,lease outstandings,3.7822128851540615
334,additional information,3.7729468599033815
335,decreased gains,3.764324324324324
336,actual results,3.75
337,collective basis,3.744186046511628
338,basis points,3.744186046511628
339,basis points,3.744186046511628
340,basis points,3.744186046511628
341,basis points,3.744186046511628
342,basis points,3.744186046511628
343,fully phased,3.733031674208145
344,loan portfolios,3.729166666666667
345,factors,3.7272727272727275
346,fully taxable,3.7176470588235295
347,average short,3.707706991171558
348,average loan,3.7001312335958003
349,average long,3.692555476020043
350,established risk,3.6923076923076925
351,minimum risk,3.6923076923076925
352,global risk,3.6923076923076925
353,matters,3.666666666666667
354,future events,3.666666666666667
355,material risks,3.666666666666667
356,assess risks,3.666666666666667
357,contractual terms,3.666666666666667
358,slight shift,3.666666666666667
359,leases exceeding $100,3.6621287128712874
360,aircraft financing,3.6486486486486487
361,tax,3.6434782608695655
362,table,3.625
363,increased gains,3.6218181818181816
364,sources,3.6153846153846154
365,adversely impact,3.6153846153846154
366,account statements,3.6153846153846154
367,united states,3.6
368,evaluate loans,3.5974770642201834
369,annual report,3.5882352941176467
370,annual report,3.5882352941176467
371,annual report,3.5882352941176467
372,2015 occurred primarily,3.565625
373,2016 occurred primarily,3.565625
374,recorded amount,3.5555555555555554
375,business development,3.5555555555555554
376,primarily due,3.5461128048780486
377,2016 primarily due,3.5461128048780486
378,2015 primarily due,3.5461128048780486
379,91%,3.5461128048780486
380,individual components,3.5454545454545454
381,leases outstanding,3.5371287128712874
382,significant concentration,3.5294117647058822
383,sale,3.524324324324324
384,sale,3.524324324324324
385,term borrowings,3.52
386,aircraft industry,3.5153153153153154
387,management,3.511111111111111
388,readers,3.5
389,depositories,3.5
390,volcker rule,3.5
391,delinquencies,3.4607843137254903
392,previous write,3.4444444444444446
393,fewer write,3.4444444444444446
394,banking subsidiaries,3.4439655172413794
395,fewer gains,3.44
396,online access,3.428571428571429
397,foreign loan,3.416666666666667
398,loan sales,3.416666666666667
399,equivalent basis,3.4108527131782944
400,directors,3.3846153846153846
401,aircraft portfolio,3.381981981981982
402,sale,3.381818181818182
403,fhlb advances,3.3529411764705883
404,leases,3.3496287128712874
405,impairment writedowns,3.3333333333333335
406,identify forward,3.333333333333333
407,oral forward,3.333333333333333
408,unforeseen downturns,3.333333333333333
409,years,3.333333333333333
410,subsequent fair,3.333333333333333
411,local market,3.3275862068965516
412,include taxable,3.327272727272727
413,repossessions,3.3076923076923075
414,repossessions,3.266025641025641
415,62 million reported,3.2539906103286382
416,43 million reported,3.2539906103286382
417,fourth quarter,3.238095238095238
418,fourth quarter,3.238095238095238
419,agricultural portfolio,3.2333333333333334
420,primarily caused,3.194196428571429
421,comparable period,3.1787878787878787
422,clients,3.166666666666667
423,comparable periods,3.1563218390804595
424,improved yield,3.142857142857143
425,similar increase,3.0444444444444443
426,statements,3.0
427,borrow approximately $265,3.0
428,short time,2.957575757575758
429,sale portfolio,2.9333333333333336
430,future periods,2.8563218390804597
431,depreciation,2.6623931623931623
432,effective,2.6470588235294117
433,requirements,2.625
434,fees,2.625
435,bank,2.5806451612903225
436,income,2.5462962962962963
437,capital,2.5
438,months,2.477386934673367
439,securities,2.4
440,dividends,2.388888888888889
441,interest,2.3696969696969696
442,cash,2.3333333333333335
443,financial,2.329113924050633
444,decreased,2.324324324324324
445,based,2.2857142857142856
446,average,2.283464566929134
447,quarter,2.2825396825396824
448,quarter,2.2825396825396824
449,share,2.2758620689655173
450,paid,2.275
451,real,2.2545454545454544
452,% rate,2.25
453,potential,2.25
454,statement,2.230769230769231
455,certificates,2.2
456,increased,2.1818181818181817
457,equipment,2.1129032258064515
458,lower,2.0833333333333335
459,commercial,2.0689655172413794
460,repossession,2.0625
461,gaap,2.05
462,tax,2.0434782608695654
463,reserve,2.0384615384615383
464,year,2.0309278350515463
465,assets,2.0166666666666666
466,september30,2.0136986301369864
467,remain,2.0
468,assumptions,2.0
469,law,2.0
470,ratios,2.0
471,funds,2.0
472,collateral,2.0
473,deposit,2.0
474,events,2.0
475,sales,2.0
476,expenses,2.0
477,2016 resulted,2.0
478,equity,1.9777777777777779
479,loans,1.9724770642201834
480,loss,1.9642857142857142
481,ratio,1.962962962962963
482,june30,1.962962962962963
483,lease,1.9607843137254901
484,offset,1.9583333333333333
485,losses,1.951219512195122
486,trust,1.9230769230769231
487,performance,1.9130434782608696
488,charge,1.9090909090909092
489,march31,1.8760330578512396
490,industry,1.8666666666666667
491,liabilities,1.8571428571428572
492,higher,1.8297872340425532
493,market,1.8275862068965518
494,outstandings,1.8214285714285714
495,2015 occurred,1.8
496,economy,1.8
497,occurred,1.8
498,due,1.7804878048780488
499,primarily,1.765625
500,required,1.75
501,consumer,1.75
502,basis,1.744186046511628
503,portfolio,1.7333333333333334
504,include,1.7272727272727273
505,risk,1.6923076923076923
506,operations,1.6666666666666667
507,terms,1.6666666666666667
508,liquidity,1.6666666666666667
509,approximately 1,1.6666666666666667
510,future,1.6666666666666667
511,discussed,1.6666666666666667
512,risks,1.6666666666666667
513,impairment,1.6666666666666667
514,equivalent,1.6666666666666667
515,aircraft,1.6486486486486487
516,institutions,1.625
517,earnings,1.625
518,table,1.625
519,evaluate,1.625
520,statements,1.6153846153846154
521,phased,1.6153846153846154
522,sources,1.6153846153846154
523,impact,1.6153846153846154
524,reflect,1.6
525,states,1.6
526,taxable,1.6
527,report,1.588235294117647
528,related,1.5555555555555556
529,recorded,1.5555555555555556
530,business,1.5555555555555556
531,additional $75,1.5555555555555556
532,measure,1.5454545454545454
533,requirement,1.5454545454545454
534,components,1.5454545454545454
535,time,1.5333333333333334
536,significant,1.5294117647058822
537,borrowings,1.52
538,management,1.511111111111111
539,readers,1.5
540,local,1.5
541,shareholders,1.5
542,rule,1.5
543,depositories,1.5
544,offs,1.5
545,years,1.5
546,delinquencies,1.5
547,agricultural,1.5
548,employment,1.5
549,write,1.4444444444444444
550,gains,1.44
551,access,1.4285714285714286
552,caused,1.4285714285714286
553,short,1.4242424242424243
554,loan,1.4166666666666667
555,long,1.4090909090909092
556,subject,1.3846153846153846
557,including,1.3846153846153846
558,subsidiaries,1.375
559,yields,1.375
560,fhlb,1.3529411764705883
561,forward,1.3333333333333333
562,unforeseen,1.3333333333333333
563,component,1.3333333333333333
564,board,1.3333333333333333
565,borrow,1.3333333333333333
566,fair,1.3333333333333333
567,2016 versus,1.3333333333333333
568,repossessions,1.3076923076923077
569,leases,1.2871287128712872
570,depreciation,1.2777777777777777
571,results,1.25
572,quarter,1.2380952380952381
573,quarter,1.2380952380952381
574,quarter,1.2380952380952381
575,quarter,1.2380952380952381
576,book,1.2222222222222223
577,period,1.2121212121212122
578,reduction,1.2105263157894737
579,sale,1.2
580,liquidation,1.2
581,periods,1.1896551724137931
582,continue,1.1666666666666667
583,anticipated,1.1666666666666667
584,country,1.1666666666666667
585,yield,1.1428571428571428
586,provision,1.121212121212121
587,december31,1.1166666666666667
588,investments,1.1
589,28 million,1.087323943661972
590,95 million,1.087323943661972
591,22 million,1.087323943661972
592,96 million,1.087323943661972
593,91 million,1.087323943661972
594,32 million,1.087323943661972
595,35 million,1.087323943661972
596,73 million,1.087323943661972
597,97 million,1.087323943661972
598,92 million,1.087323943661972
599,05 million,1.087323943661972
600,82 million,1.087323943661972
601,01 million,1.087323943661972
602,71 million,1.087323943661972
603,30 million,1.087323943661972
604,56 million,1.087323943661972
605,00 million,1.087323943661972
606,42 million,1.087323943661972
607,23 million,1.087323943661972
608,72 million,1.087323943661972
609,26 million,1.087323943661972
610,70 million,1.087323943661972
611,51 million,1.087323943661972
612,75 million,1.087323943661972
613,02 million,1.087323943661972
614,09 million,1.087323943661972
615,31 million,1.087323943661972
616,39 million,1.087323943661972
617,29 million,1.087323943661972
618,87 million,1.087323943661972
619,54 million,1.087323943661972
620,53 million,1.087323943661972
621,78 million,1.087323943661972
622,36 million,1.087323943661972
623,21 million,1.087323943661972
624,33 million,1.087323943661972
625,83 million,1.087323943661972
626,64 million,1.087323943661972
627,79 million,1.087323943661972
628,07 million,1.087323943661972
629,94 million,1.087323943661972
630,90 million,1.087323943661972
631,98 million,1.087323943661972
632,25 million,1.087323943661972
633,03 million,1.087323943661972
634,41 million,1.087323943661972
635,76 million,1.087323943661972
636,37 million,1.087323943661972
637,24 million,1.087323943661972
638,48 million,1.087323943661972
639,63 million,1.087323943661972
640,14 million,1.087323943661972
641,88 million,1.087323943661972
642,99 million,1.087323943661972
643,62 million,1.087323943661972
644,50 million,1.087323943661972
645,11 million,1.087323943661972
646,10 million,1.087323943661972
647,17 million,1.087323943661972
648,68 million,1.087323943661972
649,45 million,1.087323943661972
