,0,1
0,broker dealer prices,9.0
1,thermal solutions,9.0
2,fide executive,9.0
3,water absorbents,9.0
4,silicon holdings,9.0
5,tremendous attention,9.0
6,continuous progression,9.0
7,biomedical holdings,8.858760826115923
8,providing strategic operational,8.764705882352942
9,genome profiling,8.714285714285715
10,insider trading policies,8.666666666666666
11,managerial assistance,8.644705882352941
12,financial solution,8.623287671232877
13,undue reliance,8.5
14,office space,8.4375
15,enumeral biomedical,8.404215371570467
16,executive officer,8.390243902439025
17,currency translation,8.270833333333334
18,market maker,8.216710182767624
19,breakpoints,8.204878048780488
20,technological improvement,8.185185185185185
21,disruptive science,8.16025641025641
22,promissory note,8.14952966124735
23,accounting standards codification,8.126436781609195
24,accounting bulletin,8.126436781609195
25,vested forfeiture,8.120421245421246
26,performance productivity,8.114874815905743
27,negative covenant,8.098484848484848
28,pharma corporation,8.073643410852712
29,managerial assistance,8.028760330578512
30,financial officer,8.013531573671901
31,secured debt,8.005594405594406
32,cambrios technologies corporation,7.954146555506801
33,line basis,7.937662337662337
34,master netting arrangement,7.9375
35,line method,7.917757009345793
36,note thereto,7.914812680115274
37,actual award,7.905268490374873
38,average rate,7.902261048304213
39,minimum liquidity requirement,7.89317438055166
40,rise,7.85
41,home run return,7.8375
42,scenario,7.825
43,lending standard,7.814814814814815
44,converged standard,7.814814814814815
45,firm offer,7.791666666666666
46,weighted average based,7.790592334494773
47,reporting purpose,7.789954337899543
48,credit agency downgrade,7.761904761904762
49,biotechnology company,7.7550807712350185
50,retrospective approach,7.75079365079365
51,le meeting,7.7094400177069495
52,eleven month,7.689563011763103
53,forfeiture,7.685897435897436
54,local tax,7.685314685314685
55,affiliated company,7.683652199806447
56,bid quotation,7.68
57,unaudited note,7.678277793168402
58,contour energy systems,7.66777108433735
59,normal recurring accrual,7.666666666666666
60,income taxes,7.666589683599595
61,march,7.665354330708661
62,operating officer,7.664580185624866
63,corporate capital,7.662948018039401
64,lodo therapeutics corporation,7.656976744186046
65,equity method investees,7.653283325135268
66,subsequent events,7.6329079182105115
67,business multiples,7.625448028673835
68,microeconomic event,7.625
69,unfunded commitment,7.617687074829933
70,intensive sector,7.595754342150073
71,currency rate,7.587380095923262
72,lattice model,7.586345381526105
73,traded stock,7.581694033792884
74,generally coincides,7.576271186440678
75,bridge note,7.573258474806671
76,laser light engines,7.571428571428571
77,preceding round leading,7.552757793764988
78,cobalt technologies,7.550416564567508
79,option theory,7.543678160919541
80,mailing date,7.518518518518519
81,adesto technologies,7.5176243567753005
82,proposed valuation,7.5058419243986245
83,adjusted basis,7.504329004329003
84,accrued benefit,7.496491228070175
85,adesto technologies,7.495659744206661
86,china electronics corporation,7.49299824956239
