,0,1
0,managerial assistance&quot,9.67129119075484
1,financial statements&quot,9.016857397481452
2,executive officer,9.0
3,thermal solutions,9.0
4,fide executive,9.0
5,undue reliance,9.0
6,tremendous attention,9.0
7,continuous progression,9.0
8,lending standards,8.8
9,managerial assistance,8.728886422493526
10,financial officer,8.676646706586826
11,financial solutions,8.676646706586826
12,biomedical holdings,8.619138053001034
13,currency translation,8.508647798742139
14,insider trading policies,8.497474747474747
15,lenders party thereto,8.477272727272727
16,statutory obligation,8.4
17,actuarial gains,8.333333333333334
18,scenarios,8.325
19,unconditional firm,8.321428571428571
20,water absorbents,8.294117647058822
21,currency rates,8.276089659207255
22,fleet health alliance,8.275862068965518
23,pharma corporation,8.271144278606965
24,promissory notes,8.2375
25,enumeral biomedical,8.223950887225634
26,operating officer,8.223880597014926
27,office space,8.215277777777779
28,managerial assistance,8.196253369272238
29,market makers,8.186186186186186
30,secured debt,8.18576753642833
31,cambrios technologies corporation,8.18512277323062
32,breakpoints,8.105072463768115
33,laser light engines,8.09090909090909
34,holding periods,8.042553191489361
35,general partner,8.032581453634085
36,recurring accruals,8.0
37,microeconomic events,7.978846153846154
38,therapeutics corporation,7.898595258999122
39,affiliated companies,7.894108527131783
40,disruptive technologies,7.893145161290322
41,option premiums,7.880298507462687
42,option theory,7.875081116158339
43,owned subsidiaries,7.85704918032787
44,partner companies,7.7912513842746405
45,local taxes,7.781818181818181
46,offering scenarios,7.731678486997636
47,liquidity requirements,7.726412745830221
48,adesto technologies corporation,7.717590305698153
49,silicon holdings,7.712951969778737
50,average rate,7.710352469846141
51,interest rates,7.698098794771685
52,interest rates,7.698098794771685
53,holding periods,7.675464583894424
54,rise,7.655172413793103
55,corporate capital,7.640457932822119
56,option exercise patterns,7.63384689455946
57,commitment fee,7.630102040816327
58,bridge notes,7.594642857142857
59,contributing factor,7.59356585443542
60,fee income,7.574481865284974
61,managerial assistance,7.566503022531599
62,mailing date,7.562091503267974
63,financial statements,7.556588641519795
64,weighted average based,7.556165674354997
65,financial information,7.545805585091499
66,owned subsidiary,7.543715846994536
67,financial statements,7.54181957599885
68,macroeconomic events,7.529284750337382
69,limited partner,7.513392857142858
70,reporting purposes,7.50998003992016
71,credit agency,7.5
72,secured debt,7.492219149331555
73,affiliated company,7.479913106444606
74,adesto technologies,7.476749057394219
75,public market,7.473420228739378
76,bid quotations,7.472222222222223
77,employee bonus expense,7.469764224361561
78,option pricing models,7.456929536210607
79,financial statements,7.440942383016394
80,debt issuance costs,7.439185086620073
81,technologies,7.43778801843318
82,lattice model,7.435897435897436
83,consolidated statements,7.432588599749102
84,regulatory approvals,7.4302059496567505
85,significant subsidiaries,7.4228571428571435
86,converged standard,7.4
87,investment advisers,7.397887323943662
88,notes thereto,7.3875
89,financial instruments,7.376646706586826
90,exemptive order,7.371428571428572
91,traded stock,7.366512771790228
92,exercise behavior,7.359377532825418
93,lower costs,7.346774193548387
94,potential contribution,7.325
95,accounting pronouncements,7.31031746031746
96,year nqsos,7.297235023041475
97,insurance premiums,7.287368421052632
98,pricing services,7.2787439613526566
99,unaffiliated companies,7.256689172293074
100,capital market,7.252176033901922
101,accounting policies,7.250649350649351
102,compensation cost,7.247477022887007
103,tax savings,7.245990796262725
104,traded companies,7.228399076699788
105,stock exchanges,7.218055555555556
106,preferred stock,7.216666666666667
107,forfeiture rate,7.207919973544973
108,debt expense,7.2068447048739195
109,existing privately held,7.2058725917039315
110,months,7.204751548292219
111,actual awards,7.202671312427411
112,net asset,7.200914118912275
113,public listing,7.194760924273621
114,september30,7.1903173145597385
115,option pricing model,7.166051015823891
116,insurance expense,7.162847900801941
117,operating companies,7.157989124146709
118,borrowing capacity,7.148148148148149
119,sublease income,7.142339008142117
120,liquidity scenarios,7.1385922330097085
121,common stock,7.131481481481481
122,valuation firm,7.128618113912232
123,venture debt deal,7.126638713444084
124,discount rate,7.122004357298475
125,unrealized gains,7.118567526251159
126,china electronics corporation,7.117298124760811
127,trading market,7.1097972972972965
128,significant subsidiary,7.109523809523809
129,loan facility,7.0999355847126004
130,additional capital,7.094158861800243
131,venture environments,7.080670508119434
132,principal,7.075818036711892
133,program purchases,7.068084784826388
134,accounting policies,7.0577922077922075
135,cash flow,7.056527303754266
136,market data,7.050702315218444
137,secondary liquidity,7.042860525692635
138,financial liabilities,7.030094982448896
139,intercompany accounts,7.026190476190476
140,stock option awards,7.024715851636127
141,hierarchical levels,7.018181818181818
142,goal,7.015873015873016
143,additional repayments,7.0068924183398265
144,valuation committee book,7.001633986928105
145,valuation committee,7.001633986928105
146,products,7.0
147,portfolio companies,6.99625541978715
148,portfolio companies,6.99625541978715
149,financial information,6.994785176928234
150,income tax,6.991771732569575
151,income taxes,6.981300047103155
152,unaudited notes,6.980163255089554
153,method,6.979613241560144
154,unrealized depreciation,6.976538540743912
155,debt investment,6.9721163988335295
156,stock price,6.970452310717798
157,public information,6.956392921057864
158,revenue standards,6.952204836415363
159,office space,6.949971655328798
160,interest rates,6.948098794771685
161,unrealized appreciation,6.944325102008735
162,liquidity events,6.942438386855862
163,cash reserves,6.935909222573454
164,growth potential,6.925
165,champions oncology,6.921293199554069
166,capital loss carryforwards,6.919648384301102
167,capital loss carryforward,6.919648384301102
168,amp,6.9186507936507935
169,retrospective approach,6.910818713450292
170,invested capital,6.9089650543273065
171,corporate headquarters,6.907801418439716
172,rent expense,6.9059556702255005
173,tradable shares,6.902681992337165
174,ten equity,6.901029932410685
175,held portfolio,6.8995984317277195
176,traded securities,6.89951930773794
177,business environment,6.8975044199646405
178,precision medicine market,6.89681237214444
179,market interest rates,6.884284980957872
180,rent expense,6.8730918204602425
181,large rounds,6.86525974025974
182,offering price,6.864413663374803
183,interest rates,6.863927940500329
184,performance target,6.855392156862745
185,market quotations,6.852852852852854
186,debt investments,6.847593560871176
187,restricted securities,6.839603758169934
188,public offering,6.839205368718066
189,future amounts,6.824559304458802
190,loss relate,6.821049840933192
191,average ownership,6.820323979817651
192,additional meetings,6.820050932903696
193,valuation committee meeting,6.819815805109923
194,stock awards,6.818792344173442
195,traded investments,6.817655035549314
196,qualifying assets,6.814486139283299
197,traded company,6.8142036560126105
198,investment capabilities,6.813716469672306
199,contour energy systems,6.808333333333334
200,market quotations,6.806753562072711
201,ascertainable market,6.801570801570801
202,net gains,6.801391876878718
203,gains,6.801391876878718
204,operating commitment,6.7989826378312515
205,dividend rate,6.796983044425501
206,bridge notes,6.794642857142858
