,0,1
0,user feedback,9.0
1,lived assets,9.0
2,substantial doubt,9.0
3,quality education,9.0
4,novemberand decemberbecause,9.0
5,balance sheet classification,8.90625
6,announcement,8.789473684210526
7,balance sheet,8.691964285714285
8,recognition method,8.642105263157895
9,capital resources sources,8.64
10,application coding,8.61111111111111
11,project,8.609375
12,digital content,8.580645161290322
13,consolidated statements,8.524441076165214
14,project stage,8.5
15,machine learning technique,8.5
16,owned subsidiary,8.434343434343434
17,stock units,8.422142214221422
18,adjusted ebitda,8.417435648372997
19,necessarily evenly spaced,8.357142857142858
20,financing wa secured,8.339473684210526
21,debt discount,8.25
22,capital stock,8.243960396039604
23,cloud environment technology,8.228395061728396
24,financial position,8.226190476190476
25,integrated solution,8.207142857142857
26,capital expenditure requirements,8.195555555555556
27,sale force,8.195488721804512
28,performance metrics,8.187984496124031
29,integrated application,8.155753968253968
30,income tax,8.136054421768707
31,wa,8.121291866028708
32,cloud computing arrangement,8.1
33,technology,8.085537918871253
34,balance sheet,8.078663793103448
35,month,8.077344505317434
36,legal proceedings,8.06993006993007
37,program field placement,8.050173010380623
38,running program,8.050173010380623
39,newer program,8.050173010380623
40,administrative finance,8.029761904761905
41,month,8.017882110530575
42,inherent uncertainty,8.0
43,debt instrument,8.0
44,stock par,7.892849284928493
45,month,7.880046247229983
46,income tax,7.872896527031864
47,accounting pronouncement,7.8478260869565215
48,academic calendar,7.838574423480084
49,fund rate,7.838107928047968
50,additional indebtedness,7.821428571428571
51,content development costs,7.821306080830553
52,lived asset,7.809523809523809
53,application development stage,7.789272030651341
54,core operating performance,7.771317829457364
55,sec staff,7.75
56,irrevocable letter,7.735294117647059
57,stockholders equity,7.728537735849057
58,strategic decision,7.725806451612903
59,commitment operating leases,7.7
60,addition construction,7.6938775510204085
61,dilutive item,7.693548387096774
62,fasb ha issued,7.652853260869565
63,equity award,7.647670388910281
64,titled measure,7.636363636363637
65,net loss,7.630417651694247
66,adjusted ebitda,7.625768981706329
67,financial information,7.617816091954023
68,stock unit,7.607327399406607
69,line method,7.595728451563692
70,consolidated statement,7.5905351762398965
71,financial statements,7.584574028122415
72,compensation stock compensation,7.583552232774299
73,infrastructure college,7.580882352941177
74,ebitda loss,7.566371818585763
75,growth rate,7.565551537070524
76,wa due primarily,7.564840253125482
77,based compensation,7.557170948553292
78,calendar year,7.54625322997416
79,adjusted ebitda,7.528546759484108
80,signing bonus,7.528455284552845
81,company,7.504230118443316
82,receivable balance,7.500979668332576
83,equipment financing activities,7.488888888888889
84,content development technology,7.487201142558948
85,operating lease,7.479910714285714
86,administrative expense,7.476657329598506
87,credit quality,7.473684210526316
88,legal communication,7.463210702341137
89,cash flows,7.448755924170616
90,initial enrollment,7.436773193212163
91,fee,7.425925925925926
92,software,7.421818181818182
93,adjusted ebitda,7.417435648372996
94,adjusted ebitda,7.417435648372996
