,0,1
0,user feedback,9.0
1,substantial doubt,9.0
2,novemberand decemberbecause,9.0
3,techniques,8.692307692307693
4,balance sheets,8.657153446997775
5,server usage,8.55421686746988
6,search engine optimization,8.5
7,admissions application processing,8.465587044534413
8,digital content,8.43918918918919
9,growth rates,8.393939393939394
10,necessarily evenly spaced,8.357142857142858
11,compensation plans,8.27119799954535
12,quick ratios,8.264705882352942
13,capital expenditure requirements,8.213333333333333
14,program field placements,8.191881918819188
15,settlement releases,8.172413793103448
16,south africa,8.142857142857142
17,educational content,8.105855855855856
18,integrated solution,8.089285714285715
19,september30,8.087274984481688
20,months,8.082046226311753
21,capital resources sources,8.073333333333334
22,admissions application process,8.056496135443503
23,resources functions,8.055555555555555
24,balance sheets,8.005407354001441
25,inherent uncertainty,8.0
26,titled measures,8.0
27,point solutions,8.0
28,application development stage,7.999731471535982
29,cash flow,7.988372093023256
30,sales force,7.962406015037594
31,academic calendar,7.941644562334218
32,educational engagement,7.925925925925926
33,financial position,7.914543497466413
34,months,7.89937062442543
35,student generation,7.896589658965897
36,running programs,7.89405684754522
37,newer programs,7.89405684754522
38,balance sheet classification,7.868421052631579
39,placement services,7.774647887323944
40,calendar year,7.741061755146262
41,additional indebtedness,7.680451127819548
42,subject matter,7.622950819672131
43,accounting pronouncements,7.614035087719298
44,recognition method,7.610526315789475
45,receivable balance,7.609032744462782
46,consolidated statements,7.602074079301993
47,financial information,7.587214611872145
48,strategic decisions,7.574074074074074
49,adjusted ebitda,7.569583931133429
50,compensation stock compensation,7.532093105272438
51,prospective students,7.529021558872305
52,learning environment,7.5256410256410255
53,financial projections,7.520547945205479
54,judgment,7.5180817610062896
55,conditions,7.5042168674698795
56,core operating performance,7.502846299810247
57,owned subsidiary,7.5
58,compensation costs,7.497613093884973
59,intercompany accounts,7.496709252806814
60,compensation awards,7.488589303893177
61,delivery platforms,7.484848484848484
62,funds rate,7.459599703484063
63,stock units,7.4573745386004875
64,digital content,7.4391891891891895
65,balance sheet arrangements,7.423976608187134
66,performance metrics,7.407802847166263
67,cash flow metrics,7.405038759689923
68,borrowing commitment,7.3896103896103895
69,financial statements,7.3707559895882815
70,fees,7.369565217391305
71,project stage,7.365384615384615
72,dilutive items,7.352941176470589
73,content management system,7.337494273934952
74,income taxes,7.324367088607595
75,technology,7.323660714285714
76,net loss,7.303561334087055
77,customer relationship management,7.298305084745763
78,education program,7.297942524879795
79,program launches,7.271881918819188
80,contractual arrangement,7.2655677655677655
81,working capital,7.264211711711711
82,operational plans,7.258333333333333
83,content development costs,7.257441018222689
84,asynchronous content,7.2516891891891895
85,sec staff,7.25
86,operating leases,7.240591397849462
87,balance sheet date,7.237215378872713
88,compensation charges,7.234160962508313
89,additional updates,7.233333333333333
90,compensation expense,7.231486808209611
91,equity awards,7.196557971014493
92,borrowing funds,7.194379391100703
93,graduation work requirements,7.1854545454545455
94,infrastructure colleges,7.183006535947712
95,consolidated statement,7.144723177776335
96,student retention rates,7.118811881188119
97,trends,7.117647058823529
98,cash flows,7.105038759689922
99,capital expenditures,7.101952861952862
100,recurring nature,7.1
101,tax withholding purposes,7.094444444444445
102,capital asset additions,7.08
103,permitted indebtedness,7.076555023923445
104,ongoing corrections,7.074074074074074
105,risks,7.073422330097087
106,revenue growth,7.050258684405026
107,leased facilities,7.027777777777779
108,cash capital expenditures,7.016250880902044
109,legal proceedings,6.993006993006993
110,financial performance,6.991136180499597
111,reporting process,6.957610882268416
112,student enrichment experiences,6.952145214521452
113,educational content,6.9391891891891895
114,cash compensation costs,6.93176831943835
115,shares,6.928571428571429
116,debt issuance costs,6.926415094339623
117,sales expense,6.922694823701854
118,office operating leases,6.893924731182796
119,quick ratio,6.885395537525355
120,contractual arrangements,6.885225885225886
121,programs,6.866279069767442
122,administrative expense,6.8650507134261645
123,program agreements,6.849776655661294
124,net cash,6.827452552793371
125,nonprofit colleges,6.8258258258258255
126,dilutive impact,6.823529411764706
127,periods,6.811453627424926
128,content development services,6.8056738112070105
129,consolidated statements,6.799654724463284
130,income taxes,6.798051299133911
131,related revenue,6.795713229859571
132,financial statements,6.79345657667243
133,total accounts,6.788998788605397
134,intangible assets,6.785897435897436
135,student immersion courses,6.785478547854786
136,content,6.763796519032121
137,financial information,6.72420091324201
138,operating segment,6.72273425499232
139,cash items,6.719691647872223
140,program proceeds,6.710449558076483
141,cloud computing arrangement,6.702564102564103
142,ebitda loss,6.7007314721170355
143,financial reporting,6.7000351246926595
144,content costs,6.691920073002495
145,client program,6.6858938948670925
146,financial performance,6.68079135291339
147,adjusted ebitda,6.68069504224454
148,support costs,6.672458259807248
149,academic disciplines,6.672413793103448
150,tuition levels,6.666666666666666
151,adverse effect,6.659879336349924
152,college programs,6.64405684754522
153,largest client,6.627345309381237
154,operating leases,6.625206782464847
155,rent increases,6.625
156,december31,6.6218309859154925
157,fiscal years,6.6214629794826045
158,share sale agreement,6.5877959927140255
159,adjusted ebitda,6.569583931133429
160,adjusted ebitda,6.569583931133429
161,accounting policies,6.567160087719298
162,fiscal periods,6.562780536246276
163,fixed payments,6.558922558922559
164,financing costs,6.551259463326606
165,direct costs,6.548052521240208
166,program faculty members,6.530373214757292
167,tax asset,6.51251461988304
168,forfeiture rate,6.498110614908965
169,program marketing investments,6.495132560393182
170,student acquisition efforts,6.484916063139696
171,program marketing efforts,6.482817289457222
172,rent expense,6.467009238771787
173,principal balance,6.466905901116427
174,client program level,6.4358938948670925
175,payments,6.429084073820916
176,qualified students,6.426457456308203
177,rent expense,6.418622141997593
178,performance obligations,6.3680241327300156
179,prospective students,6.366859396710143
180,student acquisition activities,6.363969073947725
181,credit card fees,6.353081700907788
182,leasehold improvements,6.34965034965035
183,interest,6.349298687867623
184,cash flows,6.335807990459154
185,company,6.335718440954043
186,hosting services,6.328864754793823
187,continued revenue,6.322985957132298
188,net loss,6.303561334087055
189,common stock,6.2909879839786385
190,stock option activity,6.281464174454829
191,loan obligation,6.258928571428571
192,largest clients,6.253333333333334
193,classification,6.249203821656051
194,effective date,6.245987308697274
195,effective date,6.245987308697274
196,fasb issued asu,6.237840185292415
197,stock options,6.237019730010385
198,professional fees,6.202898550724638
199,lease agreement,6.197831835007933
200,marketing efforts,6.184992218183254
201,stock,6.172738170964427
202,equivalent enrollment,6.166666666666666
203,amortization expense,6.142106990482442
204,administrative costs,6.131176999101527
205,initial enrollments,6.129577464788733
206,additional client,6.127345309381237
207,recognize revenue,6.110864745011087
208,equity interests,6.103841991341991
209,equity incentive plan,6.087274774774775
210,credit quality,6.0787545787545785
211,office equipment,6.07
212,program support capabilities,6.066496512858242
213,income statement,6.056509945750452
214,amortization expense,6.008773657149108
215,related expenses,6.006863818912011
216,students,5.999905093008851
217,clients faculty members,5.958491295938105
218,clients,5.945187969924811
219,client programs,5.939350874875175
220,property rights,5.922826086956522
221,sales expense,5.922694823701854
222,students,5.89159465828751
223,california programs,5.884252925976592
224,related costs,5.8800947480192765
225,future revenue,5.875713229859571
226,award forfeitures,5.872398685651698
227,company,5.870061875297477
228,revenue,5.867141801288143
229,technology costs,5.862105883813307
230,client programs,5.860291045815346
231,state compliance requirements,5.834805194805195
232,enabled services,5.831790744466801
233,sales expenses,5.829875894555666
234,saas technology,5.817708333333334
235,support costs,5.811852199201187
236,increased year,5.790012804097311
237,campus programs,5.78655684754522
238,additional clients,5.753333333333334
239,remainder,5.749747474747474
240,revenue,5.730926620308564
241,faculty,5.724934677118328
242,deferred revenue,5.717722799237562
243,revenue recognition,5.702362455933258
244,existing programs,5.695338898827271
245,actual results,5.6565061301903405
246,securities exchange act,5.6322802197802195
247,payment accounting,5.568251955189178
248,potential differences,5.564075630252101
249,significant amounts,5.538871951219512
250,balance sheet,5.535087719298245
251,immaterial state,5.534487734487735
252,clients programs,5.51405684754522
253,company,5.507269868542623
254,prior period,5.5017661755836995
255,quality education,5.5
256,management,5.4531296461492715
257,early adoption,5.452716014635519
258,south africa,5.428571428571429
259,software licensing,5.396697837521917
260,students,5.380708066808813
261,period expense,5.372533305519606
262,assets property,5.360897435897436
263,client programs,5.3292452941813595
264,admissions decisions,5.3076923076923075
265,cumulative effect,5.283090783090783
266,based compensation,5.27119799954535
267,access,5.14278914802475
268,financial position,5.125811103100216
269,headquarters lease,5.074358974358974
270,period revenue,5.0685637873209775
271,content development,5.031025923883067
272,company,4.964173725506889
273,prior period,4.958529874213836
274,development efforts,4.936664320900774
275,consolidated statements,4.924654724463284
276,working capital,4.885833333333333
277,cancelable leases,4.875
278,future depreciation,4.8671951219512195
279,development costs,4.8182518290335
280,year percentage increase,4.787504744780741
281,extraordinary items,4.781512605042017
282,based awards,4.7716081718177055
283,implementation/operation stage,4.75
284,simmons college,4.75
285,accounts,4.740611691831203
286,compensation committee,4.716981132075471
287,accrued compensation,4.716981132075471
288,integrated applications,4.714285714285714
289,provided primarily,4.677777777777777
290,capital stock,4.671464174454829
291,calendar years,4.667535853976532
292,major additions,4.666666666666666
293,materials,4.666666666666666
294,technical corrections,4.666666666666666
295,program performance,4.662470154113306
296,financial statements,4.656470275302567
297,cash requirements,4.6283720930232555
298,based payments,4.622398685651698
299,additional student,4.618811881188119
300,months,4.615157584062401
301,program metrics,4.608548585485854
302,early application,4.605263157894737
303,deferred taxes,4.603070175438596
304,cash position,4.593635250917993
305,statements,4.5904677846425415
306,operating activities,4.589471994864388
307,facilities,4.583333333333334
308,leases,4.573924731182796
309,adjusted ebitda,4.569583931133429
310,additional information,4.566666666666666
311,client functions,4.54956753160346
312,legal proceedings,4.538461538461538
313,separate units,4.535714285714286
314,financial institutions,4.520547945205479
315,forecasted financial,4.520547945205479
316,financial condition,4.520547945205479
317,financial milestones,4.520547945205479
318,tax payments,4.512626262626263
319,debt instrument,4.5
320,debt discounts,4.5
321,resources,4.5
322,nature,4.5
323,directly compare,4.5
324,operating loss,4.496738938833069
325,fixed payments,4.484848484848484
326,fasb deferred,4.478070175438596
327,performance condition,4.470588235294118
328,comprehensive loss,4.464480874316941
329,fiscal quarters,4.46
330,entire arrangement,4.451048951048951
331,applicable law,4.444444444444445
332,content packaging,4.4391891891891895
333,consolidated basis,4.4387323943661965
334,reporting process,4.437062937062937
335,fiscal year,4.431830985915493
336,investments,4.431216931216931
337,selected colleges,4.430555555555555
338,financing activity,4.43010752688172
339,search,4.423076923076923
340,additional paid,4.423076923076923
341,expense,4.418622141997593
342,key metrics,4.416666666666666
343,direct deduction,4.410526315789474
344,revenue,4.406319290465632
345,income tax,4.393811533052039
346,primarily comprised,4.386111111111111
347,individual deliverable,4.380952380952381
348,owned subsidiaries,4.375
349,initial enrollment,4.366666666666667
350,costs,4.365809033733562
351,single unit,4.357142857142858
352,necessarily correspond,4.357142857142858
353,expected life,4.354300385109115
354,unusual items,4.352941176470589
355,common stock,4.348130841121495
356,cash items,4.341313269493844
357,faculty members,4.338491295938105
358,content management,4.337494273934952
359,comprehensive set,4.333333333333334
360,income taxes,4.324367088607595
361,financing activities,4.320654790563312
362,office space,4.32
363,sales efforts,4.307233601244491
364,net loss,4.303561334087055
365,doubtful accounts,4.301587301587301
366,business 2u,4.29637526652452
367,sales activity,4.295739348370928
368,comprehensive income,4.282700421940929
369,contractual obligations,4.282051282051282
370,future issuance,4.28
371,thereto,4.276119402985074
372,deliverable arrangements,4.26984126984127
373,arrangement,4.269230769230769
374,adjusted prospectively,4.264705882352941
375,occupied beginning,4.2631578947368425
376,programs,4.259648245394683
