,0,1
0,drainage solution,9.0
1,physical attribute,9.0
2,regulatory environment,9.0
3,titled caption,9.0
4,consumer confidence cyclicality,9.0
5,drainage systems,9.0
6,gross profit,8.928571428571429
7,local presence,8.833333333333334
8,gross profit,8.8125
9,statutory rate,8.612903225806452
10,allotment option,8.6
11,public offering,8.566666666666666
12,polyethylene pipe,8.486486486486486
13,depreciation expense,8.46376811594203
14,unconsolidated affiliate,8.422619047619047
15,interest,8.395744680851063
16,principal balance,8.340714285714286
17,national footprint,8.333333333333334
18,interest,8.324316109422492
19,growth opportunity,8.323529411764707
20,income tax,8.256467110125646
21,income tax,8.256467110125646
22,months,8.24793388429752
23,shelf agreement,8.242296918767508
24,profit cost,8.23404255319149
25,audit tax,8.233511586452764
26,joint venture,8.230952380952381
27,revenue opportunity,8.222222222222221
28,tax rate,8.218963831867057
29,professional fee,8.211111111111112
30,upper limit,8.196078431372548
31,gross profit,8.13953488372093
32,manner volatility,8.11111111111111
33,month,8.11052930414485
34,product category,8.102564102564102
35,months,8.085714285714285
36,accounting policy,8.025641025641026
37,outstanding principal drawn,7.994047619047619
38,resin initiative,7.964285714285714
39,month,7.9483097055616145
40,september,7.9483097055616145
41,miscellaneous expense,7.94376811594203
42,water quality filter,7.909090909090909
43,lender party thereto,7.909090909090909
44,tigre ads,7.885714285714286
45,bank term loans,7.87280701754386
46,months,7.871794871794872
47,cash flow,7.846751006325475
48,cash flow,7.846751006325475
49,residential agriculture,7.838709677419355
50,preferred stock,7.837601078167116
51,balance sheet arrangement,7.833846153846153
52,administrative expense,7.827404479578393
53,project product mix,7.816849816849817
54,default,7.809523809523809
55,core drainage business,7.8
56,offering price,7.793939393939393
57,professional fee,7.776023391812865
58,affiliate equity,7.773970398970398
59,charge ratio,7.764492753623188
60,raw material,7.752941176470589
61,liquidity requirement,7.743421052631579
62,month,7.7343902916422
63,traditional material,7.733333333333334
64,interest expense,7.72617946345976
65,debt expense,7.713768115942029
66,credit facility,7.697069597069596
67,day grace period,7.688
68,item equity,7.684684684684685
69,debt covenant,7.675
70,principal amount,7.6722222222222225
71,adjusted earnings,7.6616755793226385
72,restrictive covenant,7.65
73,sale coverage,7.641321044546851
74,fiscal year,7.603959731543624
75,fiscal year,7.603959731543624
76,year forms,7.603959731543624
77,net sale,7.598097601323408
78,international market,7.586956521739131
79,good sold decreased,7.584415584415584
80,outstanding debt,7.5773809523809526
81,growth opportunity,7.5735294117647065
82,income tax liability,7.556467110125646
83,depreciation charge,7.5562015503875966
84,december consents,7.546179498332608
85,minimum ratio,7.543904518329072
86,owned subsidiary,7.537037037037037
87,accounting issue,7.5256410256410255
88,staff level,7.5145348837209305
89,material swap,7.511111111111111
90,foreign income,7.498891352549888
91,relocation expense accounting,7.489409141583055
92,financial measures,7.4821315623023406
93,cost relate,7.469336670838548
94,interest expense,7.459512796793092
95,tax asset,7.4555229716520035
96,prior year,7.434444444444445
97,net sale,7.410597601323408
98,customer credit policy,7.408974358974358
99,contractual obligation,7.4
100,canadian dollar,7.375
101,average balance,7.340714285714285
102,interest rate swap,7.319759017768627
103,year rate,7.318981657179
104,administrative expense,7.307404479578393
105,sale volume,7.2953826691967105
106,consolidated statements,7.289473684210526
107,profit impact,7.242424242424242
108,net income,7.242247995906531
109,debt agreement,7.224439775910364
110,manufacturing facility,7.216666666666667
111,outstanding share,7.2142857142857135
112,share,7.213571428571429
113,sale volume,7.199623435270583
114,prior year,7.172626262626263
115,adjusted ebitda,7.164987714987715
116,converted share,7.154942925291763
117,construction market,7.15337018397822
118,december,7.13593388429752
119,lower debt,7.110714285714286
120,limitation factor,7.1063545150501675
121,net sale,7.098097601323408
122,pipe product,7.089050589050588
123,measure,7.081654381654381
124,diluted share,7.053571428571429
125,agriculture end market,7.0484949832775925
126,capital expenditure,7.037592351151673
127,corporate purpose,7.035555555555556
128,administrative expense,7.027404479578393
129,wa previously accounted,7.013888888888888
130,tax calculation equity,7.005031005031006
131,million wa,7.0
132,common stockholder,6.984705882352942
133,net income,6.978611632270169
134,share conversion,6.953571428571429
135,cash flow,6.931857389304199
136,quarter,6.921010807374444
137,net income,6.913905749917227
138,subsidiary,6.912037037037037
139,adjusted ebitda,6.906923198858683
140,additional adjustment,6.879120879120879
141,preferred share,6.874999999999999
142,current demand,6.862745098039216
143,senior notes,6.846666666666666
144,year period,6.842444444444444
145,computation method,6.839285714285714
146,term loan facility,6.83391812865497
147,pipe volume decrease,6.823904787140082
148,financial statements,6.8235294117647065
149,joint venture,6.806666666666667
150,dividend payment requirement,6.794685990338164
151,risk factors,6.7727272727272725
152,additional uncertainty,6.703007518796992
153,related footnote,6.6686159844054576
154,sale increase,6.667114695340501
155,adjusted earnings,6.6616755793226385
156,adjusted earnings,6.6536110631936065
157,financial measure,6.648798228969007
158,income loss,6.61042981408835
159,loss income,6.61042981408835
160,year period,6.594078431372549
161,supplemental measure,6.587173579109063
162,fluctuation,6.5777777777777775
163,increase wa primarily,6.56540404040404
164,notes,6.553214285714285
165,product sale,6.549649558138523
166,product,6.5480186480186475
167,quarter,6.544871794871796
168,quarter,6.544871794871796
169,employee esop account,6.527379053694844
170,debt covenant calculation,6.514285714285714
171,water management product,6.48224324694913
172,net income,6.4786116322701695
173,capital lease obligation,6.476694915254237
174,gaap measure,6.461233729485002
175,common stock,6.407601078167116
176,financial condition,6.40379471643946
177,company,6.348484848484848
178,labor cost,6.3444321635811
179,covenant compliance,6.3277777777777775
180,consolidated result,6.32422796061563
181,limitation statement,6.290366581415174
182,capital distribution,6.28765982753494
183,financial information,6.234157431088377
184,financial result,6.214605527250271
185,fiscal year,6.207733316449284
186,cash dividend,6.1725768321513
187,price decrease,6.102700077700078
188,comparable alternative,6.102631578947368
189,term debt,6.0394736842105265
190,change,6.0130536130536125
191,financial condition,5.960087022006526
192,credit agreement,5.907993966817497
193,liquidity measure,5.804318488529015
194,remaining increase,5.778801169590643
195,march primarily due,5.75350790513834
196,future event,5.734168308471714
197,related cost,5.732288167226576
198,step acquisition,5.555555555555555
199,future performance,5.4868421052631575
200,professional fee,5.477777777777778
201,consent,5.428571428571429
202,interest,5.395744680851063
203,outstanding balance,5.340714285714286
204,liquidity,5.301754385964912
205,joint venture,5.266666666666667
206,interest rate,5.208647906657515
207,winter month,5.195928753180661
208,growth initiative,5.0735294117647065
209,interest expense,5.059512796793093
210,investment management,5.000350140056023
211,corporate function,5.0
212,compensation expense,4.963768115942029
213,credit facility,4.958974358974359
214,prior year,4.954444444444444
215,wa held,4.9523809523809526
216,adjusted ebitda,4.914987714987715
217,outstanding debt,4.910714285714286
218,stock option,4.90188679245283
219,cost effective,4.900709219858156
220,wa primarily,4.884848484848485
221,added back,4.875
222,term loans,4.87280701754386
223,twelve month,4.862595419847328
224,revolving loan,4.84920634920635
225,cash flow,4.846751006325475
226,residential residential,4.838709677419355
227,preferred stock,4.837601078167116
228,administrative expense,4.827404479578393
229,expense net,4.82530657748049
230,product mix,4.8168498168498175
231,lower rate,4.812903225806451
232,debt covenant,4.8
233,account payable,4.792207792207792
234,loan,4.777777777777778
235,raw material,4.752941176470588
236,international segment,4.75
237,national sale,4.736559139784946
238,traditional material,4.733333333333333
239,outstanding share,4.7142857142857135
240,financial condition,4.679385267620562
241,net income,4.678611632270169
242,credit agreement,4.672699849170438
243,stockholder,4.670588235294118
244,pipe,4.668304668304668
