,0,1
0,drainage solutions,9.0
1,physical attributes,9.0
2,regulatory environment,9.0
3,allotment option,9.0
4,captions,9.0
5,drainage systems,9.0
6,statutory rate,8.9375
7,lender parties,8.90909090909091
8,local presence,8.833333333333334
9,resin initiatives,8.677777777777777
10,design engineers,8.666666666666666
11,public offering,8.623376623376624
12,property rights,8.571428571428573
13,product categories,8.428571428571429
14,restricted stockholders,8.363636363636363
15,december31,8.285714285714285
16,party transactions,8.285714285714285
17,months,8.285714285714285
18,september30,8.285714285714285
19,principal balance,8.248965517241379
20,contractual obligations,8.229166666666668
21,raw material,8.222222222222223
22,revenue opportunity,8.222222222222221
23,principal payments,8.222222222222221
24,tax rate,8.211564171122994
25,upper limit,8.203703703703704
26,national footprint,8.166666666666668
27,growth opportunity,8.162790697674419
28,project product mix,8.142857142857142
29,shelf agreement,8.121985815602837
30,interest rate swap,8.094126506024097
31,principal amount,7.972727272727273
32,unconsolidated affiliates,7.958333333333334
33,professional fees,7.941239316239316
34,balance sheet arrangements,7.93
35,cash flow,7.925788497217068
36,customer credit policies,7.919148936170213
37,joint ventures,7.916666666666666
38,water quality,7.909090909090909
39,material swaps,7.833333333333334
40,balance sheet arrangement,7.822857142857142
41,accounting policies,7.816326530612245
42,gross profit,7.8151515151515145
43,core drainage businesses,7.8125
44,drainage structures,7.8
45,bank term loans,7.791474654377881
46,interest,7.76532215819801
47,credit facility,7.729016108845734
48,offering price,7.72863978127136
49,sales commissions,7.696347031963471
50,higher costs,7.675070028011204
51,international markets,7.667600373482727
52,net sales,7.6667520163871465
53,sales coverage,7.642083466071997
54,debt provisions,7.605691056910569
55,professional fees,7.601953601953602
56,preferred stock,7.580490405117271
57,tax rates,7.565730837789662
58,capital lease obligations,7.5625
59,minimum ratio,7.551529790660226
60,facility expansions,7.54516129032258
61,capital expenditures,7.534722222222222
62,dollar exchange rate,7.520833333333334
63,debt agreements,7.507989907485282
64,traditional materials,7.505747126436782
65,capital requirements,7.500137854976565
66,gross profit,7.493333333333334
67,year rate,7.488311141720233
68,term loan facility,7.4802867383512535
69,outstanding principal drawn,7.457854406130268
70,foreign income,7.456730769230769
71,growth opportunities,7.448504983388704
72,sales volume,7.443966079582518
73,staff levels,7.429519071310116
74,cash flow,7.425788497217068
75,income taxes,7.425595238095238
76,income taxes,7.425595238095238
77,resin costs,7.424886877828054
78,computation method,7.402502157031924
79,manufacturing facilities,7.397727272727273
80,interest payments,7.378848728246319
81,employee esop accounts,7.368421052631579
82,net sales,7.348570198205328
83,average balance,7.33987460815047
84,administrative expenses,7.334328358208955
85,outstanding shares,7.331677381648158
86,converted share,7.3204427284009705
87,accounting issues,7.316326530612245
88,capital expenditures,7.284722222222222
89,intangible amortization,7.277777777777778
90,net sales,7.254987310504793
91,dividend payment requirement,7.25
92,fiscal year,7.223140495867769
93,fiscal year,7.223140495867769
94,share,7.222677595628416
95,joint venture,7.202646815550041
96,historical results,7.1980894922071395
97,liquidity requirements,7.151018099547512
98,restrictive covenants,7.138321995464853
99,adjusted earnings,7.129708483458893
100,interest,7.12532215819801
101,gross profit,7.118407960199005
102,debt expense,7.108515915667631
103,cash flow,7.104359925788497
