,0,1
0,protein engineering,9.0
1,operational finance,8.857142857142858
2,balance sheet arrangements,8.774569402228977
3,natural regulator,8.75
4,executive officer,8.723809523809525
5,legal proceedings,8.714285714285715
6,sec requirement director,8.617647058823529
7,regulatory approval,8.563492063492063
8,regulatory approval,8.563492063492063
9,approval delay,8.563492063492063
10,balance sheet,8.560283687943263
11,retrospective application,8.545454545454545
12,licensed products,8.5
13,muscle disorder,8.5
14,audit,8.5
15,estate tax,8.47
16,stock unit,8.434994379917573
17,tgf beta,8.434782608695652
18,square foot,8.433333333333334
19,regulatory requirement,8.403361344537815
20,claim,8.4
21,property position,8.365384615384615
22,balance sheet,8.257328022918632
23,retrospective application,8.251336898395722
24,dilutive effect,8.25
25,retrospective application,8.194103194103194
26,ten year,8.183673469387756
27,stock warrants,8.138250682438581
28,biologics licensing application,8.128787878787879
29,resource function,8.125
30,personnel protection,8.107142857142858
31,public offering,8.09775641025641
32,legal proceeding,8.091644204851752
33,months,8.0625
34,lab space,8.05
35,interest income,8.042692939244663
36,allowable investment,8.01
37,month,8.006002824858758
38,state law,8.0
39,months,8.0
40,state taxing authority,8.0
41,months,7.992366412213741
42,month,7.943502824858757
43,month,7.935869237072497
44,innovative therapeutic,7.931432038834951
45,capital resource,7.928571428571429
46,retrospective method,7.928104575163399
47,balance sheet risk,7.917426545086119
48,revenue code,7.91156462585034
49,valuation allowance,7.909698996655519
50,investor relation cost,7.888888888888889
51,preferred stock,7.881611488299386
52,productive discovery,7.870967741935484
53,accounting pronouncement,7.8580246913580245
54,toxicology study,7.854545454545454
55,harbor provision,7.85
56,deferred revenue,7.83656462585034
57,tax position,7.835384615384616
58,data,7.83
59,contract research organization,7.821989528795811
60,discovery stage compound,7.8043010752688176
61,partnership agreement,7.802083333333333
62,equivalent balance,7.767472075109152
63,accounting policy,7.758024691358025
64,biotechnology industry,7.737179487179487
65,call date,7.73469387755102
66,average period,7.73394495412844
67,operating requirement,7.726737967914438
68,letter,7.72551724137931
69,responsibility,7.72551724137931
70,intellectual property,7.716216216216216
71,recurring adjustment,7.714285714285714
72,competitive dynamic,7.703125
73,restricted cash,7.6973844655972625
74,common stock,7.689271090601846
75,therapeutic candidate,7.685514953407816
76,therapeutic candidate,7.685514953407816
77,therapeutic candidate,7.685514953407816
78,luspatercept expired unexercised,7.684210526315789
79,change sensitivity,7.681818181818182
80,significant judgment,7.666666666666666
81,unobservable input,7.666666666666666
82,celgene collaborate,7.65979381443299
83,retrospective basis,7.645276292335116
84,reason,7.625
85,owner source,7.615384615384615
86,interest income interest,7.614121510673234
87,setting body,7.589285714285714
88,preferred stock,7.585058538761362
89,balance sheet arrangement,7.574569402228977
90,muscular dystrophy,7.571428571428571
91,venture investor,7.568927789934355
92,regulatory approval,7.563492063492063
93,payment milestone,7.537588086690599
94,platform technology,7.533333333333333
95,program expenses,7.530266190626835
96,activity,7.522727272727273
97,net loss,7.517397660818713
98,clinical trial,7.5111208173325625
99,balance sheet date,7.509263279779997
100,accounting policy,7.506251641712635
101,holding gain,7.50383631713555
102,diluted equity,7.491869918699187
103,financial statements,7.486322188449847
104,public offering,7.472756410256411
105,tax authority,7.470000000000001
106,significant delay,7.466666666666667
107,stock plan,7.463565808489001
108,state nol carryforwards,7.460000000000001
109,offering price,7.445582497212932
110,preclinical study,7.443706293706294
111,state income tax,7.441264367816093
112,responsibility,7.439802955665025
113,additional compound,7.428382838283829
114,tax asset,7.428333333333333
115,financial statement,7.424893617021276
116,investments debt,7.416666666666668
117,sublicensing revenue,7.41156462585034
118,average assumption,7.4
119,equity debt financing,7.391869918699188
120,additional capital,7.387906647807638
121,common stock,7.3838647175263
122,accounting standards,7.3580246913580245
123,agreement,7.357638888888888
124,development expertise,7.347860601730571
125,clinical trial,7.345858546424621
126,attribute,7.321428571428572
127,income loss,7.309714660213753
128,loss income,7.309714660213753
129,research organization,7.299053748979297
130,valuation allowance,7.294314381270903
131,operating loss,7.289646464646465
132,loss position,7.28507060572278
133,consolidated statement,7.278472906403941
134,exercise price,7.273752012882448
135,potential amount,7.27324973876698
136,year lease extension,7.257202881152461
137,disclosure warrants,7.257142857142857
138,potential project,7.255844155844155
139,patient population,7.25
140,officer insurance premium,7.249019607843138
141,additional capital,7.2450495049504955
142,stock option,7.2433331000209975
143,single digit,7.238095238095238
144,deferred revenue,7.23656462585034
145,regulatory approval,7.23015873015873
146,net,7.225730994152047
147,company,7.22551724137931
148,million wa booked,7.223689694696259
149,substantial doubt,7.214285714285714
150,financial statement,7.210607902735562
151,rent escalation,7.2
152,equivalent cash,7.196689699501848
153,cash cash,7.196689699501848
154,fasb issued asu,7.19350307287094
155,toxicology study,7.1878787878787875
156,equity incentive plan,7.187108013937282
157,therapeutic candidate,7.18056445835831
158,investment policy,7.176666666666666
159,clinical trial,7.169297118833681
160,credit card concentrations,7.163636363636364
161,study material,7.163513619840432
162,molecule ace,7.156716417910448
163,future outcome,7.153225806451613
164,milestone payment,7.147985640207418
165,common stock,7.1382506824385805
166,income taxes,7.13793103448276
167,clinical study,7.1159423633169485
168,accounting guidance,7.1080246913580245
169,unrealized gain,7.10383631713555
170,topic derivatives,7.1
171,accounting policy,7.091358024691358
172,public investor,7.089761123267689
173,based compensation,7.086464968152866
174,clinical trial,7.071626867937622
175,company belief,7.058850574712643
176,credit loss,7.049809896720008
177,deferred revenue,7.047090941639813
178,month term,7.045006584257253
179,licensing expense,7.033084577114428
180,based rsus,7.0252971137521225
181,unrealized loss,7.023134266200233
182,administrative expenses,7.021447568389058
183,funding requirement,7.020872865275143
184,period,7.00409147427496
185,credit risk,7.001543011444001
186,negative evidence,7.0
187,syndrome mds,7.0
188,patent application,6.972283813747229
189,identification method,6.972222222222222
190,therapeutic candidate,6.971229239122101
191,short term,6.961752206603466
192,material loss,6.9579140461215925
193,lease asu requires,6.957472178060414
194,cost,6.947712418300654
195,company,6.945420933193115
196,clinical trial,6.944642740953496
197,net basis,6.9429027113237645
198,subsequent events,6.940476190476191
199,therapeutic candidate,6.935514953407816
200,patent claim,6.926829268292683
201,stock warrant,6.922423344309085
202,quarterly reports,6.921428571428572
203,therapeutic candidate,6.912787680680543
204,debt financing transaction,6.9
205,loss amount,6.884427303891913
206,nol carryforwards,6.880000000000001
207,security law,6.878762886597938
208,investment policy,6.873768115942029
209,potential development,6.873668127538096
210,lease arrangement,6.873529411764706
211,drug product,6.8706812414600815
212,cash flows amount,6.868811657163544
213,expense income net,6.8578577168603445
214,significant expense,6.85530679933665
215,therapeutic candidate,6.838740759859428
216,comprehensive loss,6.838450292397661
217,group,6.833333333333334
218,recently issued standard,6.822494669509595
219,therapeutic candidate,6.8201303380231995
220,milestone payment,6.817980243553345
221,financial statement,6.816197964847364
222,stock option,6.8158277695305935
223,net cash,6.813522904778603
224,year,6.802721088435375
225,december,6.802721088435375
226,cost sharing revenue,6.800453514739229
227,phase trial,6.797365754812564
228,aggregate change,6.785266457680251
229,nol carryforwards research,6.781989528795812
230,government regulation basis,6.772727272727273
231,unvested option,6.769799166350889
232,stock options,6.768607825295723
233,public offering,6.764423076923077
234,specific guidance,6.75
235,development cost,6.749570003439972
236,compound celgene,6.746352954217936
237,revenue service,6.744897959183673
238,drug supply expense,6.744873195000607
239,amount,6.7424682395644275
240,luspatercept expense,6.733961770096884
241,financial asset,6.733941236068896
