,0,1
0,cell carcinoma,9.0
1,muscle disorders,9.0
2,standby letter,9.0
3,kidney disease,8.777777777777779
4,intellectual property,8.75
5,balance sheets,8.720349563046192
6,significant judgment,8.666666666666666
7,resource functions,8.625
8,accounting standards codification,8.50943396226415
9,natural regulators,8.5
10,retrospective application,8.464285714285715
11,protein engineering,8.434782608695652
12,balance sheets,8.371647509578544
13,legal proceedings,8.357142857142858
14,tax authorities,8.347153465346535
15,group,8.333333333333334
16,property position,8.333333333333334
17,claims,8.295652173913044
18,operating officer,8.208333333333334
19,regulatory approval,8.2
20,taxing authorities,8.2
21,innovative therapeutics,8.177884615384615
22,months,8.17740708817117
23,accounting policies,8.176100628930818
24,retrospective application,8.170168067226891
25,patient populations,8.166666666666666
26,september30,8.16469893742621
27,valuation allowance,8.134920634920636
28,accounting pronouncements,8.124818577648766
29,growth factor,8.114285714285714
30,months,8.090273363000636
31,future outcomes,8.087301587301587
32,estate taxes,8.035714285714285
33,tax positions,8.034653465346535
34,executive officer,8.017857142857142
35,regulatory approvals,8.0
36,year lease extension,7.999673202614379
37,holding gains,7.989130434782609
38,consolidated statements,7.981460674157303
39,unforeseen expenses,7.976958525345622
40,revenue service,7.942857142857143
41,revenue code,7.942857142857143
42,retrospective method,7.928104575163399
43,study materials,7.893518518518519
44,accounting policies,7.855587808417997
45,public offering,7.85531914893617
46,accounting policies,7.8427672955974845
47,stock unit,7.8237358101135195
48,trial failures,7.8165954415954415
49,additional funds,7.80911330049261
50,setting bodies,7.803921568627451
51,balance sheet risk,7.794346978557505
52,regulatory requirements,7.782978723404256
53,clinical trials,7.7809059059059065
54,investor relations,7.770588235294118
55,allowable investments,7.754545454545455
56,stock units,7.746812733190442
57,patent applications,7.717391304347826
58,operating requirements,7.716312056737589
59,recurring adjustments,7.714285714285714
60,harbor provisions,7.714285714285714
61,clinical trials,7.703982828982829
62,state laws,7.7
63,substantial doubt,7.695054945054945
64,partnership agreements,7.692982456140351
65,preferred stock,7.692156862745098
66,capital resources,7.683962264150944
67,standards,7.683098591549296
68,unobservable inputs,7.666666666666666
69,contract research organizations,7.63819095477387
70,therapeutic candidates,7.637142857142858
71,biologics licensing application,7.6309523809523805
72,reasons,7.625
73,balance sheet arrangements,7.590643274853801
74,data,7.583333333333333
75,therapeutic candidate,7.578571428571429
76,retrospective application,7.572393822393822
77,muscular dystrophy,7.571428571428571
78,december31,7.570030055817948
79,december31,7.570030055817948
80,call date,7.568181818181818
81,tax assets,7.566718682737839
82,productive discovery,7.564516129032258
83,toxicology studies,7.554545454545455
84,licensed products,7.532608695652174
85,lab space,7.516666666666667
86,financial statements,7.496153846153847
87,extension studies,7.493518518518519
88,letters,7.477852348993289
89,company,7.477852348993289
90,responsibility,7.477852348993289
91,luspatercept expired unexercised,7.477777777777778
92,consolidated statements,7.464219294846959
93,accounting standards,7.442767295597484
94,valuation allowance,7.430572808833678
95,payment accounting,7.428551609322975
96,accounting standards,7.39832285115304
97,retrospective basis,7.390092879256966
98,legal proceedings,7.357142857142858
99,drug supply expenses,7.343625192012289
100,financial statements,7.327614520311149
101,ten years,7.326086956521739
102,balance sheet date,7.325491759702286
103,services arrangement,7.32391304347826
104,milestone payment,7.310185185185185
105,interest rate,7.291666666666667
106,exercise price,7.273752012882448
107,payments,7.273595258999122
108,additional capital,7.243075564643554
109,phase2 trials,7.239035739035739
110,discovery stage compounds,7.231182795698924
111,public offering,7.23031914893617
112,operating losses,7.220657276995306
113,patent claims,7.217391304347826
114,offering price,7.203145235892691
115,regulatory approval,7.2
116,regulatory approval,7.2
117,preclinical studies,7.196153846153846
118,responsibility,7.192138063279003
119,facility lease obligations,7.171865715983364
120,capital requirements,7.150274320888532
121,interest income,7.142441860465116
122,lease arrangements,7.138888888888888
123,accounting guidance,7.134433962264151
124,unrealized gains,7.131987577639752
125,subsequent phase2,7.121489621489621
126,deferred revenue,7.10807453416149
127,operating costs,7.1039215686274515
128,aggregate change,7.065712426805465
129,balance sheet classification,7.057309941520468
130,trial data,7.049928774928775
131,licensed products,7.032608695652174
132,research organizations,7.031709473292388
133,deferred revenue,7.022948676037921
134,additional compounds,7.011494252873563
135,drug product,7.010185185185185
136,regulatory approvals,7.0
137,regulatory approvals,7.0
138,month term,6.982142857142858
139,therapeutic candidates,6.981970443349754
140,stock options,6.961204481792717
141,common stock,6.954761904761905
142,clinical trials,6.9475725725725725
143,additional capital,6.921646993214983
144,annual periods,6.900414078674949
145,backed securities,6.898989898989899
146,unvested options,6.898079877112135
147,financial statements,6.887458193979933
148,sublicensing revenue,6.887301587301588
149,therapeutic candidates,6.887142857142858
150,preferred stock,6.875255454294394
151,officer insurance premiums,6.875
152,rent escalations,6.871428571428572
153,clinical trials,6.8682074932074935
154,therapeutic candidates,6.859365079365079
155,comparative periods,6.858253799929304
156,valuation allowance,6.85113685113685
157,clinical trials,6.836461461461462
158,stock equivalents,6.814136904761905
159,exchange contracts,6.8125
160,loss position,6.811202506854681
161,company,6.811185682326622
162,tax benefits,6.795822880638888
163,tax attribute carryforwards,6.784653465346535
164,therapeutic candidates,6.766175115207374
165,equivalent balances,6.759776536312849
166,manufacturing processes,6.749032258064516
167,income tax provision,6.746539770256096
168,quarterly reports,6.742857142857143
169,additional financing,6.742263483642793
170,therapeutic candidates,6.733296703296704
171,financial assets,6.730876068376068
172,therapeutic candidates,6.724444444444445
173,identification method,6.722222222222222
174,funding requirements,6.720280310705842
175,additional debt,6.719827586206897
176,clinical trials,6.709477334477334
177,common stock,6.704761904761905
178,securities laws,6.698989898989899
179,therapeutic candidate,6.665873015873016
180,clinical studies,6.660185185185185
181,diluted equity,6.64935064935065
182,celgene collaborate,6.645911166459111
183,hedging arrangements,6.645833333333333
184,compensation expense,6.6457767772623075
185,costs,6.645588235294118
186,significant expenses,6.643625192012288
187,research institutions,6.63819095477387
188,research fee,6.63819095477387
189,potential amount,6.6362407031778226
190,state nol carryforwards,6.592857142857143
191,unrealized loss,6.581317449383416
192,therapeutic candidate,6.578571428571429
193,licensing expense,6.569114957084564
194,financial instruments,6.568376068376068
195,interim periods,6.563146997929607
196,ownership change,6.54559748427673
197,risks,6.525
198,interest income interest,6.517441860465116
199,royalty obligations,6.514745735692651
200,early adoption,6.514634146341464
201,cash equivalents,6.50073048368127
202,products,6.496894409937888
203,compensation awards,6.491361613138406
204,therapeutic candidates,6.4871428571428575
205,therapeutic candidates,6.480280112044818
206,credit risk,6.456864623243933
207,fasb issued asu,6.421066505987799
208,milestone payments,6.418203102136377
209,stock plan,6.411971104231166
210,exercise price,6.411683047365207
211,income tax expense,6.408891442316506
212,additional activities,6.400383141762452
213,tax benefits,6.389059595614734
214,term investments,6.379545454545455
215,stock options,6.375490196078432
216,warrant liability,6.368484794448283
217,facility lease obligation,6.36010101010101
218,nol carryforwards,6.355121293800539
219,cellular growth,6.345054945054946
220,dilution feature,6.344827586206897
221,money market funds,6.338709677419355
222,stock warrants,6.306265664160401
223,debt financing transactions,6.291666666666666
224,net loss,6.2793549852373385
225,tiered royalties,6.277777777777778
226,negative evidence,6.277777777777778
227,expenses,6.272610699258665
228,clinical trials,6.258683683683683
229,deferred revenue,6.246212314586347
230,year lease,6.234967320261438
231,significant estimates,6.222222222222221
232,unvested options,6.206547619047619
233,forfeiture rate,6.200877192982456
234,accounting analysis,6.198458352508053
235,nol carryforwards,6.192857142857143
236,material losses,6.1829761175750155
237,total investments,6.1650717703349285
238,lease expense,6.16235167206041
239,notes thereto,6.158974358974359
240,additional disclosure,6.154351395730706
241,therapeutic candidates,6.137142857142857
242,significant delays,6.133333333333334
243,actual forfeitures,6.115617715617716
244,net proceeds,6.089635854341736
245,net consists primarily,6.082869767625359
246,market development work,6.078354647833556
247,product revenue,6.067857142857143
248,amounts,6.04225352112676
249,development activities,6.035297144327245
250,milestone payments,6.021144278606965
251,stock option,6.0101760892150295
252,state income taxes,6.003156146179402
253,cost sharing revenue,5.996252204585538
254,actual forfeitures,5.993395493395494
255,celgene collaboration arrangement,5.992880863428809
256,trial operations,5.980117454174058
257,transfers,5.977852348993289
258,outstanding warrants,5.961305248232243
259,related notes,5.954626532887403
260,operating loss,5.946021651904005
261,based payments,5.9339726174896885
262,reported amounts,5.867948717948718
263,stock option activity,5.827077497665734
264,investment policy,5.787784679089027
265,comprehensive loss,5.7867613376087945
266,balance sheet,5.757309941520468
267,indemnification agreements,5.746904024767802
268,sale debt securities,5.742075005372878
269,development costs,5.72235441782953
270,celgene jointly develop,5.6837899543379
271,toxicology studies,5.656240369799692
272,luspatercept expenses,5.6547363031234
273,business acceleron,5.607771260997067
274,risk mds,5.6037037037037045
275,term investments,5.548663101604278
276,cost basis,5.545938921377518
277,companies,5.48345824816413
278,management,5.441441441441441
279,events,5.414633958188691
280,net cash,5.402956885375551
281,development costs,5.385233205708319
282,research technology company,5.366043303767158
283,reasonable estimates,5.355555555555555
284,research,5.354794450533693
285,commercialization costs,5.327537033622226
286,administrative expenses,5.325516217653314
287,luspatercept program,5.3167608286252355
288,twelve months,5.307556080283353
289,warrants,5.262454699941081
290,stock,5.2366758784050536
291,regulatory approval,5.199999999999999
292,innovative therapeutics,5.177884615384615
293,valuation allowance,5.134920634920634
294,accounting pronouncements,5.1248185776487665
295,amounts,5.052100840336134
296,tax positions,5.034653465346535
297,executive officer,5.017857142857142
298,licensed technology,5.0
299,regulatory approvals,5.0
300,unrealized gains,4.989130434782609
301,consolidated statements,4.981460674157303
302,classified warrants,4.9665113008766255
303,milestone payment,4.916666666666666
304,deferred taxes,4.905279503105589
305,capital,4.8982479784366575
306,tax position,4.867986798679868
307,public offering,4.85531914893617
308,drug application,4.830952380952381
309,capital requirements,4.816940987555199
310,clinical trial,4.8165954415954415
311,foreign jurisdictions,4.8125
312,innovative therapies,4.8125
313,deferred revenue,4.812422360248447
314,development milestones,4.811073541842773
315,research activities,4.785249778303281
316,future year,4.781419234360412
317,clinical trials,4.780905905905906
318,additional capital,4.77878985035784
319,tooth disease,4.777777777777778
320,current period,4.7738239873012
321,unvested options,4.769047619047619
322,future compounds,4.753968253968254
323,additional debt,4.719827586206897
324,common stock,4.704761904761905
325,milestones,4.695801066942007
326,preferred stock,4.692156862745098
327,capital resources,4.683962264150944
328,recently issued,4.683098591549296
329,financial position,4.67948717948718
330,measurement,4.678571428571429
331,phase3 study,4.666666666666666
332,significant uncertainty,4.666666666666666
333,accounting policy,4.652291105121294
334,single arrangement,4.65
335,tax expense,4.641449581851389
336,therapeutic candidates,4.637142857142857
337,significant change,4.628930817610063
338,human body,4.625
339,financial resources,4.596153846153847
340,additional funding,4.594827586206897
341,data,4.583333333333334
342,therapeutic candidate,4.578571428571429
343,expenses,4.576958525345622
344,facioscapulohumeral dystrophy,4.571428571428571
345,financial instruments,4.568376068376068
346,stock compensation,4.5620198764437285
347,collaboration arrangement,4.559090909090909
348,transition method,4.555555555555555
349,toxicology studies,4.554545454545455
350,diluted net,4.540616246498599
351,based compensation,4.538980660757454
352,tax examinations,4.534653465346535
353,fully vested,4.533333333333333
354,forfeiture rate,4.516666666666667
355,financial assets,4.508653846153846
356,tax benefits,4.500170706725845
357,proprietary technology,4.5
358,similar expressions,4.5
359,lead program,4.5
360,specific tasks,4.5
361,litigation,4.5
362,financial statements,4.496153846153846
363,operating assets,4.495833333333334
364,accounting change,4.471698113207547
365,prior year,4.466844919786096
366,provision,4.444444444444445
367,sublicensing revenue,4.442857142857143
368,stock ownership,4.442156862745098
369,protein,4.434782608695652
370,protein homeostasis,4.434782608695652
371,capital preservation,4.433962264150944
372,facility expenses,4.431503979891077
373,toxicology expenses,4.431503979891077
374,interim periods,4.420289855072464
375,contractual obligations,4.411764705882353
376,regulatory authority,4.4
377,modified agreements,4.398864809081528
378,clinical utility,4.393518518518519
379,clinical programs,4.393518518518519
380,clinical sites,4.393518518518519
381,procuring clinical,4.393518518518519
382,nol carryforwards,4.392857142857142
383,cash,4.39135548368127
384,risks,4.387605042016807
385,risks,4.375
386,debt financings,4.375
387,drug administration,4.366666666666667
388,valuation methodology,4.357142857142858
389,financial condition,4.346153846153847
390,financial institutions,4.346153846153847
391,financial asset,4.346153846153847
392,cellular growth,4.345054945054946
393,additional programs,4.344827586206897
394,additional activities,4.344827586206897
395,decisions,4.333333333333334
396,operating segment,4.333333333333334
397,operating activities,4.333333333333334
398,operating restrictions,4.333333333333334
399,significant stockholders,4.333333333333333
400,independently developing,4.329032258064516
401,accounting standard,4.313355530891602
402,expenses,4.310291858678956
403,investment policy,4.309523809523809
404,lease commences,4.305555555555555
405,lease,4.305555555555555
406,upfront payments,4.304477611940299
407,inflammatory diseases,4.302631578947368
408,related subjects,4.2956521739130435
409,related activities,4.2956521739130435
410,key personnel,4.291666666666667
411,clinical supplies,4.277239448751077
412,exercise price,4.273752012882448
413,based payments,4.273595258999122
414,related expenses,4.272610699258665
415,expenses,4.272610699258665
416,milestone payments,4.271144278606965
417,revenue,4.267857142857143
418,initial recognition,4.257352941176471
419,public investors,4.25531914893617
420,public offerings,4.25531914893617
421,asu requires,4.25516693163752
422,jointly develop,4.25
423,platform technology,4.25
424,exchange,4.25
425,exchange commission,4.25
426,forfeitures,4.230769230769231
427,significant estimates,4.222222222222222
428,existing asset,4.222222222222222
429,losses,4.220657276995305
430,patent rights,4.217391304347826
431,state jurisdictions,4.2
432,preclinical studies,4.196153846153846
433,thereto,4.1923076923076925
434,future payments,4.191779199241886
435,vested options,4.183333333333334
436,stock options,4.175490196078432
437,stock options,4.175490196078432
438,accompanying notes,4.175066312997347
439,product sales,4.1745283018867925
440,year period,4.170588235294118
441,milestone revenues,4.166666666666666
442,financing activities,4.166666666666666
443,contingent assets,4.1625
444,values assets,4.1625
445,lived assets,4.1625
446,earnings,4.158730158730159
447,3 acceleron,4.153225806451613
448,4 acceleron,4.153225806451613
449,5 acceleron,4.153225806451613
450,lab supplies,4.1503875968992245
451,amounts,4.15
452,adopting asu 2016,4.147058823529411
453,adopting asu 2017,4.147058823529411
454,lower expenses,4.143625192012289
455,policy election,4.142857142857142
456,reconciling beginning,4.142857142857142
457,interest income,4.142441860465116
458,milestone,4.133333333333333
459,administrative expenses,4.133208525345622
460,clinical development,4.13316348893272
461,investments debt,4.129545454545455
462,remain outstanding,4.129032258064516
463,specific guidance,4.125
464,based awards,4.121498599439776
465,additional costs,4.1154158215010135
466,financial instrument,4.115384615384615
467,early adoption,4.114634146341464
468,continued growth,4.114285714285714
469,common warrants,4.114108801415303
470,credit risk,4.112037037037037
471,milestone revenue,4.109523809523809
472,amortization/interest expense,4.106796116504855
473,aggregate intrinsic,4.103448275862069
474,royalty,4.102981029810298
475,quarterly report,4.1
476,standard related,4.099573742540494
477,securities,4.098989898989899
478,compensation cost,4.098258075427025
479,preclinical activities,4.096153846153847
480,preclinical programs,4.096153846153847
481,total proceeds,4.0928792569659445
482,foreseeable future,4.087301587301587
483,credit cards,4.075
484,clinical services,4.06743156199678
485,related costs,4.066240409207161
486,accrued expenses,4.060291858678956
487,cost sharing,4.053395061728395
488,rare diseases,4.052631578947368
489,historical experience,4.05
490,consolidation requirements,4.049645390070922
491,related disclosures,4.0456521739130435
492,driven primarily,4.04225352112676
493,primarily composed,4.04225352112676
494,legal services,4.031055900621118
495,commercial supplies,4.03077975376197
496,periods,4.028985507246377
497,additional services,4.0187406296851576
498,future sales,4.01182988918838
499,data,4.0025641025641026
500,profitability,4.0
501,government regulations,4.0
502,united states,4.0
503,necessarily indicative,4.0
504,marketable security,4.0
505,temporary impairments,4.0
506,tables,4.0
507,input,4.0
508,table sets,4.0
509,remaining life,4.0
510,eligible asset,4.0
511,technical merits,4.0
512,simplification,4.0
513,physical settlement,4.0
514,litigation,4.0
515,holds harmless,4.0
516,lawsuits,4.0
517,myelodysplastic syndromes,4.0
518,sample testing,4.0
519,molecules,4.0
520,table,4.0
521,variations thereon,4.0
522,competitive dynamics,4.0
523,shorter timelines,4.0
524,press releases,4.0
525,bone disorder,4.0
526,vascular calcification,4.0
527,healthy volunteers,4.0
528,muscles,4.0
529,activities,4.0
530,venture investors,4.0
531,significantly delay,4.0
532,scale back,4.0
533,profitable depends,4.0
